isbn,titulo,autor,categoria,anio_publicacion,ejemplares_disponibles
9780000000001,Cien años de soledad,Gabriel García Márquez,Novela,1967,4
9780000000002,El amor en los tiempos del cólera,Gabriel García Márquez,Novela,1985,3
9780000000003,Crónica de una muerte anunciada,Gabriel García Márquez,Novela,1981,2
9780000000004,Rayuela,Julio Cortázar,Novela,1963,3
9780000000005,Pedro Páramo,Juan Rulfo,Novela,1955,2
9780000000006,La casa de los espíritus,Isabel Allende,Novela,1982,3
9780000000007,Ficciones,Jorge Luis Borges,Cuento,1944,2
9780000000008,El Aleph,Jorge Luis Borges,Cuento,1949,2
9780000000009,Don Quijote de la Mancha,Miguel de Cervantes,Novela,1605,5
9780000000010,La sombra del viento,Carlos Ruiz Zafón,Novela,2001,4
9780000000011,Como agua para chocolate,Laura Esquivel,Novela,1989,2
9780000000012,El túnel,Ernesto Sábato,Novela,1948,2
9780000000013,Los detectives salvajes,Roberto Bolaño,Novela,1998,2
9780000000014,1984,George Orwell,Ciencia Ficción,1949,6
9780000000015,Un mundo feliz,Aldous Huxley,Ciencia Ficción,1932,3
9780000000016,Fahrenheit 451,Ray Bradbury,Ciencia Ficción,1953,3
9780000000017,El principito,Antoine de Saint-Exupéry,Infantil,1943,5
9780000000018,Matilda,Roald Dahl,Infantil,1988,3
9780000000019,Alicia en el país de las maravillas,Lewis Carroll,Infantil,1865,3
9780000000020,Breve historia del tiempo,Stephen Hawking,Ciencia,1988,2
9780000000021,Cosmos,Carl Sagan,Ciencia,1980,2
9780000000022,Sapiens: de animales a dioses,Yuval Noah Harari,Historia,2011,4
9780000000023,El origen de las especies,Charles Darwin,Ciencia,1859,1
9780000000024,Veinte poemas de amor y una canción desesperada,Pablo Neruda,Poesía,1924,3
9780000000025,Trilce,César Vallejo,Poesía,1922,1
9780000000026,Crimen y castigo,Fiódor Dostoievski,Novela,1866,3
9780000000027,Los miserables,Victor Hugo,Novela,1862,2
9780000000028,Orgullo y prejuicio,Jane Austen,Novela,1813,3
9780000000029,Drácula,Bram Stoker,Terror,1897,2
9780000000030,Frankenstein,Mary Shelley,Terror,1818,2
9780000000031,El nombre del viento,Patrick Rothfuss,Fantasía,2007,4
9780000000032,Harry Potter y la piedra filosofal,J.K. Rowling,Fantasía,1997,6
